221.157,11918
221.154,14
212.225,52
221.152,342
95.240,1
23.202,11
198.211,1
70.175,10
1.14,11
1.15,96614
1.12,41715
1.13,29136
101.35,2
101.34,8
139.173,17
210.183,2
101.33,19
101.32,1510
127.51,1
15.76,163
195.39,29
22.192,121
22.193,73
22.190,23
22.191,32
20.136,54
191.80,2051
22.194,167
22.195,84
22.198,104
22.199,115
173.0,10
22.202,41
22.203,126
22.200,35
22.201,44
22.206,76
22.207,115
22.204,28
22.205,75
22.208,83
22.209,61
197.167,9
66.150,32
3.237,47555
3.236,34928
69.21,133
69.22,5
69.24,3
3.239,22738
3.238,45228
73.63,3
73.62,2
73.61,8
73.60,15
136.221,10
209.14,16
43.210,1
172.134,13
66.159,77
161.165,12
70.176,5723
136.229,1
31.82,108
217.61,116
217.62,17
217.63,24
115.55,28
17.13,3
147.97,14
147.98,27
68.25,5
68.24,32
178.209,2
137.183,24685
137.182,89471
219.149,1
51.148,6624
220.203,1610
194.50,1765
220.201,36
220.206,4
70.40,4
220.223,18
88.208,565
70.48,599
70.49,298
157.54,108
157.52,3
157.53,39866
173.188,31
86.90,2
218.241,170
223.212,5
107.171,1070
131.155,8618
18.128,1
217.87,15
217.82,19
120.245,20
136.218,43
141.162,65
60.88,225
225.255,7
67.99,8309
67.98,7533
67.90,85
67.97,58134
67.96,34271
65.173,1
20.157,9
199.195,8
23.78,21
6.179,506
6.178,706
23.70,22
201.29,90
160.250,5001
83.76,2344
6.173,3
178.76,14
93.174,2
137.63,2
137.62,3
4.39,4
66.247,5
141.221,1099
66.241,516
22.58,90
22.59,54
22.54,58
22.55,59
22.56,48
22.57,74
22.50,36
22.51,60
22.52,57
22.53,151
17.228,26
17.229,58
208.192,12
208.194,5374
221.120,3391
221.126,13
64.206,3
201.239,5954
20.131,168
174.119,310
174.118,5
174.117,25550
22.196,46
31.255,53
22.197,96
191.83,233
90.245,100
141.64,27
136.197,120
43.216,1
43.217,1
43.214,2
43.215,2
43.213,5
221.239,8
172.236,86
198.78,2354
43.218,26
22.181,99
22.180,43
22.183,120
22.182,108
22.185,77
22.184,4
22.187,76
22.186,32
22.189,45
22.188,726
22.211,88
22.210,48
22.213,38
22.212,40
22.215,38
22.214,55
22.217,70
22.216,83
22.219,35
117.108,15
73.235,50
73.236,1
73.230,431
55.242,2
198.22,35
123.137,1
146.67,8480
146.66,489
146.65,2757
146.64,7762
107.188,35336
119.125,12
39.55,33
65.64,296
67.201,4531
212.101,11
220.144,14
5.224,1
137.196,6
5.228,20228
51.139,63
49.214,1
64.22,2
220.214,258
219.174,79
128.69,617
69.28,36
92.42,10
203.190,32
203.191,4
31.171,6
157.49,2004
216.222,442
216.223,1
216.221,7530
176.4,2
18.132,77
18.134,1055
18.139,4
18.138,2
136.132,1
69.27,6
133.249,87
199.215,410
199.214,1848
199.212,11244
129.205,83
210.200,2
65.189,92
65.186,5
65.184,862
65.185,2
65.183,44792
65.181,768
166.239,33
90.190,1
160.248,1
23.66,199
66.180,78
129.114,66
178.49,66
93.161,14
58.82,2
58.83,9
58.81,2
155.178,33
109.248,24
22.29,49
22.28,56
22.21,46
22.20,112
22.23,62
22.22,50
22.25,73
22.24,64
22.27,1570
22.26,51
17.231,264
17.230,30
17.234,200263
133.89,12
99.147,1
223.102,7
143.99,12301
172.81,1
99.175,108
159.22,310
101.17,17
101.15,27
176.128,27
43.205,28
43.204,11
43.207,12
15.19,40
221.228,542
43.203,5
43.202,5
15.13,7
43.209,33
108.81,17
221.223,48
90.182,1
90.183,1
90.180,3
90.181,2
90.186,1
90.187,1
43.193,2
43.192,141
90.189,1
43.199,4
43.198,5
108.85,19
22.220,43
22.221,32
60.2,15
22.223,41
22.156,63
22.157,135
22.154,35
22.155,209
22.152,63
22.153,46
22.150,39
22.151,106
73.208,2
210.29,572
22.158,125
22.159,76
68.187,14
68.189,7
39.120,16
211.89,11
194.180,167
211.84,5
209.30,2182
211.82,230
211.83,7
209.186,1825
209.184,7090
146.12,1
146.16,8
146.14,482
146.15,114
211.67,2891
211.62,31
189.224,42
50.214,77
210.188,1445
220.191,252
220.190,2
220.195,4
212.116,58
212.117,71
211.115,1323
146.254,20
204.119,12
194.75,4
169.73,1
194.78,121
84.151,28
51.122,23
171.146,25
35.80,49
219.2,10
216.69,28
160.75,1
160.70,13
160.72,7
69.160,79
143.102,1071
65.191,450
217.6,13
104.154,14
211.2,17
211.0,40
216.149,4
216.148,50339
116.97,245
80.116,1
209.2,254
5.74,34
187.227,12
77.149,1
220.43,27
105.26,60
105.27,28
3.158,8695
3.159,42304
92.48,23
3.150,15975
3.151,57645
66.127,24481
128.181,6250
162.93,1
178.150,3
51.16,40
223.243,11
112.63,3
219.86,10
219.80,7
198.117,14
198.111,75
161.254,1084
166.221,3
166.225,42
14.223,2624
14.221,293
99.132,148
99.133,54
99.130,33
